Date,Location,Opponent,Number,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
2018-12-15,H,Montana,25,"Watkins, T.T.",*,19,3-4,0-1,1-2,3-2,5,1,0,1,0,2,7
2018-12-15,H,Montana,53,"Rees, Darcy",*,20,1-6,0-2,2-2,1-4,5,2,0,3,1,0,4
2018-12-15,H,Montana,24,"Moser, Jenna",*,22,1-2,0-0,1-1,1-0,1,1,3,2,0,2,3
2018-12-15,H,Montana,44,"Peterson, Missy",*,16,0-4,0-4,0-0,0-1,1,0,1,0,0,0,0
2018-12-15,H,Montana,1,"Johnson, Hannah",,20,5-10,0-2,3-3,5-3,8,2,2,0,1,0,13
2018-12-15,H,Montana,15,"Van Dyke, Haley",,27,5-9,1-4,0-2,4-4,8,2,4,3,1,0,11
2018-12-15,H,Montana,3,"Henson, Mai-Loni",,20,3-7,3-4,2-2,0-5,5,2,0,2,0,0,11
2018-12-15,H,Montana,35,"Griggsby, Alexis",,14,1-6,0-4,1-2,0-3,3,2,1,0,1,0,3
2018-12-15,H,Montana,20,"Rooks, Khayla",,14,1-4,0-3,0-0,1-0,1,0,2,0,0,0,2
2018-12-15,H,Montana,12,"Hagstrom, Montana",,4,0-1,0-1,0-0,0-1,1,1,0,0,0,0,0
2018-12-16,H,Boise State,4,"Melgoza, Amber",*,25,4-17,0-2,9-11,0-5,5,5,5,5,0,0,17
2018-12-16,H,Boise State,1,"Johnson, Hannah",*,27,4-10,0-3,0-0,3-6,9,0,0,2,0,0,8
2018-12-16,H,Boise State,3,"Henson, Mai-Loni",*,27,3-9,1-5,1-2,1-3,4,1,2,1,0,2,8
2018-12-16,H,Boise State,25,"Watkins, T.T.",*,21,2-5,0-0,2-2,5-1,6,1,1,3,0,0,6
2018-12-16,H,Boise State,24,"Moser, Jenna",*,20,2-4,1-2,1-2,2-1,3,2,2,3,0,2,6
2018-12-16,H,Boise State,44,"Peterson, Missy",,29,6-18,2-8,3-3,4-5,9,3,2,1,0,0,17
2018-12-16,H,Boise State,20,"Rooks, Khayla",,14,1-2,1-2,0-0,0-2,2,0,0,1,0,0,3
2018-12-16,H,Boise State,15,"Van Dyke, Haley",,12,1-2,0-0,0-0,1-2,3,0,0,0,0,2,2
2018-12-16,H,Boise State,53,"Rees, Darcy",,12,1-3,0-0,0-0,0-5,5,2,0,0,1,1,2
2018-12-16,H,Boise State,35,"Griggsby, Alexis",,13,0-1,0-0,0-0,0-0,0,0,1,1,0,1,0
2018-12-16,H,Boise State,12,"Hagstrom, Montana",,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
2018-12-20,H,Mississippi State,1,"Johnson, Hannah",*,25,4-11,2-5,0-0,2-1,3,3,2,2,0,0,10
2018-12-20,H,Mississippi State,44,"Peterson, Missy",*,25,2-7,1-5,3-4,0-0,0,3,4,2,1,1,8
2018-12-20,H,Mississippi State,24,"Moser, Jenna",*,16,1-4,1-3,0-0,0-0,0,3,1,0,0,1,3
2018-12-20,H,Mississippi State,4,"Melgoza, Amber",*,15,0-7,0-0,3-4,0-0,0,1,2,4,1,0,3
2018-12-20,H,Mississippi State,3,"Henson, Mai-Loni",*,20,1-5,0-0,0-0,1-2,3,1,1,2,1,0,2
2018-12-20,H,Mississippi State,35,"Griggsby, Alexis",,23,4-10,3-7,0-0,0-1,1,0,4,1,0,0,11
2018-12-20,H,Mississippi State,20,"Rooks, Khayla",,23,2-3,2-2,0-0,0-1,1,0,1,6,0,0,6
2018-12-20,H,Mississippi State,25,"Watkins, T.T.",,20,2-3,0-0,1-2,2-1,3,1,1,1,2,0,5
2018-12-20,H,Mississippi State,15,"Van Dyke, Haley",,19,2-3,0-1,0-4,1-5,6,1,1,3,1,1,4
2018-12-20,H,Mississippi State,53,"Rees, Darcy",,12,2-6,0-2,0-0,2-0,2,4,0,2,2,0,4
2018-12-20,H,Mississippi State,12,"Hagstrom, Montana",,2,0-1,0-1,0-0,1-1,2,0,0,0,0,0,0
2018-12-30,H,Washington State,4,"Melgoza, Amber",*,31,9-21,2-6,7-9,0-3,3,2,1,6,0,1,27
